[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage2        7/21/2012  23:15      2.4       
RainGage2        7/21/2012  23:20      3.6       
RainGage2        7/21/2012  23:25      2.4       
RainGage2        7/21/2012  23:30      1.2       
RainGage2        7/21/2012  23:35      1.2       
RainGage2        7/21/2012  23:40      0         
RainGage2        7/21/2012  23:45      1.2       
RainGage2        7/21/2012  23:50      0         
RainGage2        7/21/2012  23:55      0         
RainGage2        7/22/2012  0:00       1.2       
RainGage2        7/22/2012  0:05       0         
RainGage2        7/22/2012  0:10       1.2       
RainGage2        7/22/2012  0:15       0         
RainGage2        7/22/2012  0:20       2.4       
RainGage2        7/22/2012  0:25       1.2       
RainGage2        7/22/2012  0:30       0         
RainGage2        7/22/2012  0:35       3.6       
RainGage2        7/22/2012  0:40       3.6       
RainGage2        7/22/2012  0:45       6         
RainGage2        7/22/2012  0:50       14.4      
RainGage2        7/22/2012  0:55       19.2      
RainGage2        7/22/2012  1:00       22.8      
RainGage2        7/22/2012  1:05       34.8      
RainGage2        7/22/2012  1:10       25.2      
RainGage2        7/22/2012  1:15       31.2      
RainGage2        7/22/2012  1:20       30        
RainGage2        7/22/2012  1:25       28.8      
RainGage2        7/22/2012  1:30       27.6      
RainGage2        7/22/2012  1:35       18        
RainGage2        7/22/2012  1:40       14.4      
RainGage2        7/22/2012  1:45       10.8      
RainGage2        7/22/2012  1:50       7.2       
RainGage2        7/22/2012  1:55       9.6       
RainGage2        7/22/2012  2:00       10.8      
RainGage2        7/22/2012  2:05       6         
RainGage2        7/22/2012  2:10       3.6       
RainGage2        7/22/2012  2:15       1.2       
RainGage2        7/22/2012  2:20       1.2       
RainGage2        7/22/2012  2:25       0         
RainGage2        7/22/2012  2:30       1.2       
RainGage2        7/22/2012  2:35       1.2       
RainGage2        7/22/2012  2:40       0         
RainGage2        7/22/2012  2:45       3.6       
RainGage2        7/22/2012  2:50       2.4       
RainGage2        7/22/2012  2:55       1.2       
RainGage2        7/22/2012  3:00       1.2       
RainGage2        7/22/2012  3:05       1.2       
