[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
Stz77            505186.641         323264.137        
Stz77            505198.861         323248.849        
Stz77            505198.585         322724.023        
Stz77            505130.890         322654.943        
Stz77            505119.203         322645.514        
ST15             507063.600         323110.949        
ST15             507065.749         323169.144        
ST15             507074.509         323193.185        
ST15             507196.975         323285.975        
ST15             507265.410         323196.484        
ST15             507063.600         323110.949        
Stz5             504225.108         323269.682        
Stz5             504782.684         323191.263        
Stz5             504832.830         323122.873        
Stz5             504801.688         323114.047        
Stz5             504284.388         323186.801        
Stz5             504225.108         323269.682        
Stz156           505186.641         323264.137        
Stz156           505794.837         323264.786        
Stz156           505782.046         323249.249        
Stz156           505726.397         323195.938        
Stz156           505713.999         323188.320        
Stz156           505262.816         323187.838        
Stz156           505198.861         323248.849        
Stz156           505186.641         323264.137        
Stz76            505033.028         322704.072        
Stz76            505033.283         323188.437        
Stz76            505054.201         323214.161        
Stz76            505119.528         323261.855        
Stz76            505119.203         322645.514        
Stz76            505106.054         322631.798        
Stz76            505049.555         322683.511        
Stz76            505033.028         322704.072        
ST7              505661.992         322745.926        
ST7              505726.397         323195.938        
ST7              505782.046         323249.249        
ST7              505780.717         322614.193        
ST7              505735.720         322654.825        
ST7              505668.983         322733.577        
ST7              505661.992         322745.926        
Stz78            505198.585         322724.023        
Stz78            505198.861         323248.849        
Stz78            505262.816         323187.838        
Stz78            505276.633         323168.982        
Stz78            505276.441         322803.546        
Stz78            505211.201         322733.667        
Stz78            505198.585         322724.023        
Stz25            504782.684         323191.263        
Stz25            504845.181         323245.132        
Stz25            505054.201         323214.161        
Stz25            505033.283         323188.437        
Stz25            504948.361         323119.233        
Stz25            504924.628         323109.271        
Stz25            504832.830         323122.873        
Stz25            504782.684         323191.263        
ST16             507044.620         323039.972        
ST16             507050.711         323078.671        
ST16             507063.600         323110.949        
ST16             507265.410         323196.484        
ST16             507279.341         323178.266        
ST16             507283.736         323088.916        
ST16             507044.620         323039.972        
Stz82            505576.291         322847.942        
Stz82            505612.052         323097.811        
Stz82            505618.301         323107.348        
Stz82            505713.999         323188.320        
Stz82            505726.397         323195.938        
Stz82            505661.992         322745.926        
Stz82            505600.938         322808.018        
Stz82            505576.291         322847.942        
Stz75            504948.191         322796.646        
Stz75            504948.361         323119.233        
Stz75            505033.283         323188.437        
Stz75            505033.028         322704.072        
Stz75            504989.612         322743.449        
Stz75            504948.191         322796.646        
Stz40            505262.816         323187.838        
Stz40            505713.999         323188.320        
Stz40            505618.301         323107.348        
Stz40            505346.466         323107.058        
Stz40            505276.633         323168.982        
Stz40            505262.816         323187.838        
Stz6             504284.388         323186.801        
Stz6             504801.688         323114.047        
Stz6             504770.535         323047.326        
Stz6             504331.451         323109.080        
Stz6             504284.388         323186.801        
Stz111           506546.944         323184.274        
Stz111           506878.752         322856.939        
Stz111           506854.670         322851.316        
Stz111           506787.329         322851.283        
Stz111           506560.241         323075.310        
Stz111           506546.944         323184.274        
Stz79            505276.441         322803.546        
Stz79            505276.633         323168.982        
Stz79            505346.466         323107.058        
Stz79            505355.170         323091.377        
Stz79            505355.059         322879.475        
Stz79            505283.237         322808.080        
Stz79            505276.441         322803.546        
Stz26            504770.535         323047.326        
Stz26            504801.688         323114.047        
Stz26            504832.830         323122.873        
Stz26            504924.628         323109.271        
Stz26            504871.288         323043.246        
Stz26            504803.759         323015.989        
Stz26            504770.535         323047.326        
ST10             504870.659         322886.584        
ST10             504871.288         323043.246        
ST10             504924.628         323109.271        
ST10             504948.361         323119.233        
ST10             504948.191         322796.646        
ST10             504887.015         322846.677        
ST10             504870.659         322886.584        
Stz7             504331.451         323109.080        
Stz7             504770.535         323047.326        
Stz7             504803.759         323015.989        
Stz7             504785.297         322976.425        
Stz7             504779.883         322974.909        
Stz7             504370.198         323032.528        
Stz7             504331.451         323109.080        
Stz157           505346.466         323107.058        
Stz157           505618.301         323107.348        
Stz157           505612.052         323097.811        
Stz157           505516.360         323020.926        
Stz157           505431.728         323020.836        
Stz157           505355.170         323091.377        
Stz157           505346.466         323107.058        
Stz81            505504.236         322936.210        
Stz81            505516.360         323020.926        
Stz81            505612.052         323097.811        
Stz81            505576.291         322847.942        
Stz81            505534.029         322879.615        
Stz81            505504.236         322936.210        
Stz80            505355.059         322879.475        
Stz80            505355.170         323091.377        
Stz80            505431.728         323020.836        
Stz80            505431.694         322956.681        
Stz80            505355.449         322879.650        
Stz80            505355.059         322879.475        
Stz132           507016.358         322947.550        
Stz132           507027.199         322997.338        
Stz132           507044.620         323039.972        
Stz132           507283.736         323088.916        
Stz132           507287.954         323003.142        
Stz132           507016.358         322947.550        
Stz112           506556.845         323016.011        
Stz112           506560.241         323075.310        
Stz112           506787.329         322851.283        
Stz112           506740.763         322840.417        
Stz112           506701.596         322846.290        
Stz112           506567.168         322978.905        
Stz112           506556.845         323016.011        
ST11             504785.297         322976.425        
ST11             504803.759         323015.989        
ST11             504871.288         323043.246        
ST11             504870.659         322886.584        
ST11             504785.297         322976.425        
Stz8             504370.198         323032.528        
Stz8             504779.883         322974.909        
Stz8             504749.497         322904.079        
Stz8             504401.111         322953.077        
Stz8             504370.198         323032.528        
ST8              505431.694         322956.681        
ST8              505431.728         323020.836        
ST8              505516.360         323020.926        
ST8              505504.236         322936.210        
ST8              505431.694         322956.681        
Stz90            506401.291         322817.403        
Stz90            506556.845         323016.011        
Stz90            506567.168         322978.905        
Stz90            506565.984         322890.620        
Stz90            506521.660         322829.536        
Stz90            506463.078         322811.059        
Stz90            506401.291         322817.403        
ST62             507006.837         322924.438        
ST62             507016.358         322947.550        
ST62             507287.954         323003.142        
ST62             507291.771         322925.520        
ST62             507006.837         322924.438        
Stz113           506565.984         322890.620        
Stz113           506567.168         322978.905        
Stz113           506701.596         322846.290        
Stz113           506637.872         322832.248        
Stz113           506606.060         322851.085        
Stz113           506565.984         322890.620        
Stz27            504749.497         322904.079        
Stz27            504779.883         322974.909        
Stz27            504785.297         322976.425        
Stz27            504870.659         322886.584        
Stz27            504887.015         322846.677        
Stz27            504806.973         322858.537        
Stz27            504749.497         322904.079        
ST39             505355.449         322879.650        
ST39             505431.694         322956.681        
ST39             505504.236         322936.210        
ST39             505534.029         322879.615        
ST39             505355.449         322879.650        
Stz9             504401.111         322953.077        
Stz9             504749.497         322904.079        
Stz9             504806.973         322858.537        
Stz9             504727.296         322826.703        
Stz9             504423.695         322869.402        
Stz9             504401.111         322953.077        
STZ133           506985.564         322870.787        
STZ133           507004.397         322920.030        
STZ133           507006.837         322924.438        
STZ133           507291.771         322925.520        
STZ133           507294.405         322871.960        
STZ133           506985.564         322870.787        
ST13             506521.660         322829.536        
ST13             506565.984         322890.620        
ST13             506606.060         322851.085        
ST13             506557.777         322808.357        
ST13             506521.660         322829.536        
Stz158           505283.237         322808.080        
Stz158           505355.059         322879.475        
Stz158           505355.449         322879.650        
Stz158           505534.029         322879.615        
Stz158           505576.291         322847.942        
Stz158           505600.938         322808.018        
Stz158           505283.237         322808.080        
STZ134           506980.698         322860.977        
STZ134           506985.564         322870.787        
STZ134           507294.405         322871.960        
STZ134           507297.352         322812.048        
STZ134           506998.419         322810.913        
STZ134           506980.698         322860.977        
ST28             504423.695         322869.402        
ST28             504727.296         322826.703        
ST28             504755.743         322760.959        
ST28             504741.795         322753.712        
ST28             504438.740         322749.966        
ST28             504423.695         322869.402        
ST3              506698.835         322642.710        
ST3              506854.670         322851.316        
ST3              506878.752         322856.939        
ST3              506969.498         322861.723        
ST3              506980.698         322860.977        
ST3              506998.419         322810.913        
ST3              507012.537         322742.914        
ST3              507017.206         322671.834        
ST3              507014.232         322639.941        
ST3              506698.835         322642.710        
ST20             504727.296         322826.703        
ST20             504806.973         322858.537        
ST20             504887.015         322846.677        
ST20             504948.191         322796.646        
ST20             504989.612         322743.449        
ST20             504755.743         322760.959        
ST20             504727.296         322826.703        
Stz92            506602.390         322590.734        
Stz92            506602.635         322655.514        
Stz92            506740.763         322840.417        
Stz92            506787.329         322851.283        
Stz92            506854.670         322851.316        
Stz92            506698.835         322642.710        
Stz92            506602.390         322590.734        
ST4              506557.777         322808.357        
ST4              506606.060         322851.085        
ST4              506637.872         322832.248        
ST4              506593.407         322772.724        
ST4              506557.777         322808.357        
Stz91            506593.407         322772.724        
Stz91            506637.872         322832.248        
Stz91            506701.596         322846.290        
Stz91            506740.763         322840.417        
Stz91            506602.635         322655.514        
Stz91            506594.646         322679.479        
Stz91            506593.407         322772.724        
Stz114           506463.078         322811.059        
Stz114           506521.660         322829.536        
Stz114           506557.777         322808.357        
Stz114           506593.407         322772.724        
Stz114           506594.646         322679.479        
Stz114           506463.078         322811.059        
Stz115           506372.848         322806.358        
Stz115           506378.700         322811.316        
Stz115           506401.291         322817.403        
Stz115           506463.078         322811.059        
Stz115           506594.646         322679.479        
Stz115           506602.635         322655.514        
